iter	Passed	Remaining
0	61	61251
1	62	30952
2	62	20840
3	63	15772
4	63	12732
5	64	10709
6	65	9287
7	66	8207
8	66	7355
9	67	6676
10	68	6120
11	68	5654
12	69	5265
13	69	4928
14	70	4633
15	71	4379
16	71	4151
17	72	3951
18	73	3770
19	73	3608
20	74	3460
21	74	3327
22	75	3207
23	76	3094
24	76	2990
25	77	2894
26	77	2805
27	78	2721
28	78	2644
29	79	2576
30	80	2508
31	80	2444
32	81	2383
33	81	2327
34	82	2275
35	83	2225
36	83	2177
37	84	2131
38	84	2088
39	85	2047
40	85	2009
41	86	1972
42	87	1938
43	87	1904
44	88	1875
45	88	1844
46	89	1814
47	90	1785
48	90	1758
49	91	1732
50	91	1707
51	92	1685
52	92	1661
53	93	1639
54	94	1616
55	94	1595
56	95	1575
57	95	1556
58	96	1536
59	96	1518
60	97	1501
61	98	1484
62	98	1468
63	99	1451
64	99	1436
65	100	1420
66	100	1406
67	101	1392
68	102	1378
69	102	1364
70	103	1350
71	103	1337
72	104	1324
73	104	1313
74	105	1301
75	106	1290
76	106	1278
77	107	1268
78	107	1257
79	108	1246
80	108	1236
81	109	1225
82	110	1216
83	110	1207
84	111	1197
85	111	1189
86	112	1180
87	113	1171
88	113	1163
89	114	1154
90	114	1146
91	115	1139
92	116	1131
93	116	1123
94	117	1116
95	117	1108
96	118	1101
97	118	1094
98	119	1086
99	119	1079
100	120	1073
101	121	1066
102	121	1060
103	122	1053
104	122	1047
105	123	1040
106	123	1034
107	124	1028
108	125	1022
109	125	1016
110	126	1010
111	126	1005
112	127	999
113	127	993
114	128	988
115	128	982
116	129	977
117	130	972
118	130	967
119	131	962
120	131	957
121	132	952
122	132	947
123	133	942
124	133	937
125	134	933
126	135	929
127	135	924
128	136	920
129	136	915
130	137	911
131	137	907
132	138	903
133	139	898
134	139	894
135	140	890
136	140	886
137	141	882
138	141	878
139	142	875
140	143	871
141	143	867
142	144	864
143	144	860
144	145	857
145	145	853
146	146	849
147	147	846
148	147	843
149	148	839
150	148	836
151	149	832
152	149	829
153	150	826
154	150	823
155	151	819
156	152	816
157	152	813
158	153	810
159	153	807
160	154	804
161	154	801
162	155	798
163	156	795
164	156	792
165	157	789
166	157	787
167	158	784
168	158	781
169	159	778
170	160	776
171	160	773
172	161	771
173	161	768
174	162	766
175	163	764
176	163	762
177	164	759
178	165	756
179	165	754
180	166	751
181	166	749
182	167	747
183	168	748
184	169	745
185	169	743
186	170	741
187	171	738
188	171	736
189	172	733
190	172	731
191	173	729
192	173	726
193	174	724
194	174	722
195	175	720
196	176	717
197	176	715
198	177	713
199	178	712
200	178	710
201	179	707
202	179	705
203	180	703
204	180	701
205	181	699
206	182	697
207	182	695
208	183	693
209	183	691
210	184	689
211	184	687
212	185	685
213	186	683
214	186	681
215	187	679
216	187	677
217	188	675
218	188	673
219	189	671
220	190	670
221	190	668
222	191	666
223	191	664
224	192	662
225	193	661
226	193	659
227	194	657
228	194	655
229	195	653
230	195	651
231	196	650
232	197	650
233	198	649
234	198	647
235	199	645
236	199	643
237	200	641
238	201	640
239	201	638
240	202	636
241	202	634
242	203	633
243	203	631
244	204	629
245	204	628
246	205	626
247	206	625
248	206	623
249	207	622
250	207	620
251	208	618
252	209	617
253	209	616
254	210	614
255	210	612
256	211	611
257	211	609
258	212	607
259	213	606
260	213	604
261	214	603
262	214	601
263	215	600
264	215	598
265	216	597
266	216	595
267	217	594
268	218	592
269	218	591
270	219	589
271	219	588
272	220	586
273	220	585
274	221	583
275	222	582
276	222	580
277	223	579
278	223	578
279	224	576
280	224	575
281	225	573
282	225	572
283	226	570
284	226	569
285	227	568
286	228	567
287	228	565
288	229	564
289	229	563
290	230	561
291	231	560
292	231	558
293	232	557
294	232	556
295	233	554
296	233	553
297	234	552
298	234	550
299	235	549
300	236	548
301	236	546
302	237	545
303	237	544
304	238	543
305	238	541
306	239	540
307	240	539
308	240	538
309	241	536
310	241	535
311	242	534
312	242	533
313	243	531
314	243	530
315	244	529
316	245	528
317	245	526
318	246	525
319	246	524
320	247	523
321	247	522
322	248	521
323	249	519
324	249	518
325	250	517
326	250	516
327	251	514
328	251	513
329	252	512
330	253	511
331	253	510
332	254	509
333	254	508
334	255	507
335	255	505
336	256	504
337	257	503
338	257	502
339	258	501
340	258	500
341	259	498
342	259	497
343	260	496
344	261	495
345	261	494
346	262	493
347	262	492
348	263	491
349	263	490
350	264	488
351	264	487
352	265	486
353	266	485
354	266	484
355	267	483
356	267	482
357	268	481
358	268	480
359	269	478
360	269	477
361	270	476
362	271	475
363	271	474
364	272	473
365	272	472
366	273	471
367	273	470
368	274	469
369	274	468
370	275	467
371	276	466
372	276	465
373	277	463
374	277	462
375	278	461
376	278	460
377	279	459
378	279	458
379	280	457
380	281	456
381	281	455
382	282	454
383	282	453
384	283	452
385	283	451
386	284	450
387	284	449
388	285	448
389	286	447
390	286	446
391	287	445
392	287	444
393	288	443
394	288	442
395	289	441
396	289	440
397	290	439
398	291	438
399	291	437
400	292	436
401	292	435
402	293	434
403	293	433
404	294	432
405	295	431
406	295	430
407	296	429
408	296	428
409	297	427
410	297	426
411	298	425
412	299	425
413	299	424
414	300	423
415	300	422
416	301	421
417	301	420
418	302	419
419	302	418
420	303	417
421	304	416
422	304	415
423	305	414
424	305	413
425	306	412
426	306	411
427	307	410
428	308	410
429	308	409
430	309	408
431	309	407
432	310	406
