iter	Passed	Remaining
0	1	1651
1	2	1129
2	2	944
3	3	857
4	4	803
5	4	759
6	5	736
7	5	718
8	6	700
9	6	689
10	7	677
11	8	670
12	8	678
13	9	670
14	10	661
15	10	656
16	11	649
17	11	644
18	12	646
19	13	641
20	13	637
21	14	636
22	14	634
23	15	632
24	16	635
25	17	636
26	18	663
27	19	659
28	19	656
29	20	651
30	20	651
31	21	648
32	22	645
33	22	641
34	23	641
35	23	637
36	24	636
37	25	636
38	25	633
39	26	631
40	27	633
41	27	630
42	28	628
43	28	626
44	29	625
45	30	623
46	30	621
47	31	618
48	31	619
49	32	619
50	33	621
51	34	622
52	34	620
53	35	625
54	36	625
55	36	623
56	37	621
57	38	619
58	38	616
59	39	615
60	39	613
61	40	612
62	41	610
63	41	610
64	42	608
65	42	606
66	43	604
67	44	603
68	44	601
69	45	599
70	45	598
71	46	596
72	47	603
73	48	605
74	49	607
75	50	609
76	50	608
77	51	608
78	52	617
79	53	616
80	54	614
81	54	613
82	55	611
83	55	609
84	56	608
85	57	606
86	57	604
87	58	603
88	58	601
89	59	601
90	60	599
91	60	598
92	61	597
93	61	595
94	62	594
95	62	592
96	63	591
97	64	590
98	65	592
99	65	592
100	66	591
101	67	590
102	67	589
103	68	590
104	69	591
105	70	592
106	71	592
107	71	592
108	72	592
109	73	591
110	73	590
111	74	588
112	74	587
113	75	587
114	76	586
115	76	584
116	77	583
117	77	582
118	78	581
119	79	579
120	79	578
121	80	578
122	80	575
123	81	574
124	82	574
125	82	575
126	83	574
127	84	575
128	85	575
129	86	575
130	86	575
131	87	575
132	88	574
133	88	574
134	89	573
135	90	572
136	90	571
137	92	574
138	93	576
139	94	582
140	95	584
141	96	584
142	98	587
143	98	586
144	99	587
145	100	588
146	101	589
147	102	589
148	103	588
149	103	589
150	104	589
151	105	589
152	106	588
153	106	587
154	107	587
155	108	586
156	109	586
157	109	585
158	110	584
159	111	586
160	112	587
161	114	590
162	114	589
163	115	589
164	116	588
165	116	587
166	117	587
167	118	587
168	119	587
169	120	586
170	120	586
171	121	586
172	122	586
173	123	587
174	124	586
175	125	586
176	126	586
177	126	585
178	127	584
179	128	583
180	129	583
181	129	583
182	130	584
183	132	586
184	133	587
185	134	588
186	136	591
187	136	591
188	137	590
189	138	589
190	138	588
191	139	586
192	140	588
193	141	587
194	142	586
195	142	584
196	143	583
197	143	582
198	144	580
199	145	580
200	146	581
201	147	580
202	147	579
203	148	578
204	149	578
205	149	576
206	150	575
207	150	574
208	151	572
209	152	572
210	152	571
211	153	570
212	153	568
213	154	567
214	155	566
215	155	564
216	156	563
217	156	562
218	157	561
219	158	560
220	158	559
221	159	557
222	159	556
223	160	555
224	161	556
225	162	556
226	163	555
227	163	554
228	164	553
229	165	552
230	165	551
231	166	550
232	166	548
233	167	547
234	167	546
235	168	545
236	169	544
237	169	543
238	170	542
239	170	541
240	171	540
241	172	539
242	172	538
243	173	536
244	173	535
245	174	534
246	175	533
247	175	532
248	176	531
249	177	532
250	177	531
251	178	530
252	179	528
253	179	528
254	180	527
255	181	526
256	181	525
257	182	524
258	182	523
259	183	521
260	184	521
261	184	520
262	185	519
263	185	518
264	186	517
265	186	515
266	187	515
267	188	514
268	188	513
269	189	512
270	189	511
271	190	510
272	191	509
273	191	507
274	192	507
275	192	506
276	193	505
277	194	504
278	194	503
279	195	502
280	195	501
281	196	500
282	197	499
283	197	498
284	198	497
285	198	496
286	199	495
287	199	494
288	200	493
289	201	492
290	201	491
291	202	490
292	202	489
293	203	488
294	204	487
295	204	486
296	205	485
297	205	484
298	206	483
299	207	483
300	207	482
301	208	481
302	208	480
303	209	479
304	210	478
305	210	477
306	211	476
307	211	475
308	212	474
309	212	473
310	213	472
311	214	471
312	214	471
313	215	470
314	215	469
315	216	468
316	217	467
317	217	466
318	218	465
319	218	465
320	219	464
321	220	463
322	220	462
323	221	461
324	221	460
325	222	459
326	223	459
327	223	458
328	224	457
329	224	456
330	225	455
331	226	455
332	226	454
333	227	453
334	227	452
335	228	451
336	229	450
337	229	449
338	230	448
339	230	447
340	231	447
341	231	446
342	232	445
343	233	444
344	233	443
345	234	442
346	235	443
347	236	442
348	236	441
349	237	440
350	237	439
351	238	438
352	238	437
353	239	437
354	240	436
355	240	435
356	241	434
357	241	433
358	242	432
359	243	432
360	243	431
361	244	430
362	245	430
363	245	429
364	246	428
365	246	427
366	247	426
367	247	425
368	248	424
369	249	423
370	249	423
371	250	422
372	250	421
373	251	420
374	251	419
375	252	419
376	253	418
377	253	417
378	254	416
379	254	415
380	255	414
381	256	414
382	256	413
383	257	413
384	258	412
385	259	412
386	259	411
387	260	410
388	260	409
389	261	408
390	261	408
391	262	407
392	263	406
393	263	405
394	264	404
395	264	403
396	265	403
397	265	402
398	266	401
399	267	400
400	267	400
